OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W,INPUT_2_Z,INPUT_2_Y,INPUT_2_X,INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,CompileProgram_TT_HOST_FUNC [ns],HWCommandQueue_write_buffer_TT_HOST_FUNC [ns]
(torch) __get__,python_fallback,0,,None,,,,5203432437,5203478759,46322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,1,,None,,,,5203504791,5203536043,31252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,2,,None,,,,5203548573,5203583776,35203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,3,,None,,,,5203597739,5203633763,36024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,4,,None,,,,5203645672,5203679266,33594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,5,,None,,,,5204942121,5204981457,39336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,6,,None,,,,5205001175,5205033323,32148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,7,,None,,,,5205046149,5205080502,34353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,8,,None,,,,5205091007,5205121261,30254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,9,,None,,,,5205132184,5205167984,35800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,10,,None,,,,5206434468,5206480137,45669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,11,,None,,,,5206497381,5206531144,33763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,12,,None,,,,5206542287,5206572154,29867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,13,,None,,,,5206582889,5206610528,27639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,14,,None,,,,5206619318,5206657528,38210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,15,,None,,,,5207835540,5207872012,36472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,16,,None,,,,5207888180,5207921464,33284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,17,,None,,,,5207931446,5207963318,31872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,18,,None,,,,5207973715,5208006776,33061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,19,,None,,,,5208016605,5208046539,29934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,20,,None,,,,5209206643,5209244703,38060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,21,,None,,,,5209262152,5209295540,33388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,22,,None,,,,5209306180,5209339166,32986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,23,,None,,,,5209348729,5209377317,28588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,24,,None,,,,5209387821,5209420751,32930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,25,,None,,,,5210503180,5210541663,38483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,26,,None,,,,5210558695,5210589807,31112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,27,,None,,,,5210601393,5210636913,35520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,28,,None,,,,5210647286,5210680170,32884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,29,,None,,,,5210689508,5210731120,41612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,30,,None,,,,5213510371,5213555207,44836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,31,,None,,,,5213574589,5213612814,38225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,32,,None,,,,5213625906,5213661015,35109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,33,,None,,,,5213672283,5213708594,36311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,34,,None,,,,5213719107,5213753937,34830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,35,,None,,,,5214911569,5214953849,42280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,36,,None,,,,5214972485,5215010037,37552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,37,,None,,,,5215022061,5215052792,30731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,38,,None,,,,5215064123,5215099983,35860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,39,,None,,,,5215111162,5215143285,32123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,40,,None,,,,5216473496,5216512848,39352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,41,,None,,,,5216530514,5216567383,36869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,42,,None,,,,5216579032,5216613734,34702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,43,,None,,,,5216624802,5216662696,37894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,44,,None,,,,5216673164,5216706212,33048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,45,,None,,,,5218048487,5218086126,37639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,46,,None,,,,5218103313,5218142960,39647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,47,,None,,,,5218155066,5218196642,41576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,48,,None,,,,5218207385,5218246285,38900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,49,,None,,,,5218256679,5218292485,35806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,50,,None,,,,5220351310,5220399806,48496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,51,,None,,,,5220422076,5220461785,39709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,52,,None,,,,5220474054,5220507414,33360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,53,,None,,,,5220518526,5220555685,37159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,54,,None,,,,5220566437,5220608212,41775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,55,,None,,,,5221915297,5221957013,41716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,56,,None,,,,5221973602,5222005674,32072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,57,,None,,,,5222016877,5222053278,36401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,58,,None,,,,5222063653,5222099972,36319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,59,,None,,,,5222109689,5222147143,37454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,60,,None,,,,5225004940,5225047358,42418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,61,,None,,,,5225065221,5225096185,30964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,62,,None,,,,5225108541,5225145607,37066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) numel,python_fallback,63,,None,,,,5225156571,5225194933,38362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) data_ptr,python_fallback,64,,None,,,,5225205271,5225238927,33656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,65,,None,,,,5226373431,5226414985,41554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) contiguous,python_fallback,66,,None,,,,5226432235,5226470621,38386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(torch) __get__,python_fallback,67,,None,,,,5226482811,5226513991,31180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
